,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,46.43,41.69,,,,,,-,,,,,88.99,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,73.93,73.55,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,78.74,81.17,,,,,,109.90,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,49.71,62.33,,,,,,54.85,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak,80.12,80.12,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,53.28,53.28,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,84.38,84.16,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,91.93,91.54,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bur oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,62.47,62.47,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black walnut,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black locust,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,71.88,81.54,,,,,,81.86,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,87.18,84.94,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,79.03,78.07,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,70.95,113.55,,,,,,101.29,,,,,-,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,53.78,-,,,,,,0.00,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
"24 Maryland
Number of non-zero plots numerator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,34,27,,,,,,5,,,,,2,,,,,,-,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,9,7,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,4,4,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,4,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bur oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black walnut,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black locust,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
"24 Maryland
Number of non-zero plots denominator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,323,268,,,,,,46,,,,,27,,,,,,2,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,2,1,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
